year,month,month_name,avg_generation_mw,avg_export_mw,total_shortfall_mwh,availability_pct,final_bess_mwh,final_laes_mwh,avg_market_price,total_revenue,baseline_revenue,excess_revenue,total_energy_sold_mwh,avg_realized_price,max_potential_revenue,revenue_achievement_pct
2024,10,October,738.4385113123169,663.57658337287,76998.7336788983,86.51585180871838,493.62398488388783,813.7931581575963,82.25298858294157,39328097.91212259,39328097.91212259,0.0,494032.7663211017,79.6062540648587,49350098.74481313,79.69203489437012
2024,11,November,715.5563928277843,571.1323043935993,141122.67468441173,74.46314268495426,600.0,19933.24794969001,95.36897293546149,39028860.48577084,39028860.48577084,0.0,411500.82531558827,94.84515725050811,55467405.96874921,70.36359426608126
2024,12,December,766.8000000000002,697.2215462819204,51950.058793110344,90.90241802893354,600.0,9279.303593769848,87.61073875083949,43508365.83431496,43508365.83431496,0.0,519081.4412068897,83.81799536727009,52204743.56101798,83.3417863330015
2025,1,January,761.8151298734936,663.3831337960498,77142.75688884096,86.49063022112774,120.0,6876.204055806154,114.04488918737407,55081498.28940671,55081498.28940671,0.0,493888.74311115907,111.5261261927761,67855923.93063752,81.17419246359557
2025,2,February,766.5684888728231,706.6766117485774,40567.47859908169,92.1351514665681,0.0,0.0,102.5972342007435,48724259.773687616,48724259.773687616,0.0,475240.0214009183,102.52558197867606,55099689.54833414,88.42928185819648
2025,3,March,704.4431868205094,644.5702100962768,91148.97858332189,84.0378370399318,0.0,0.0,89.6839153794493,42088459.14195499,42088459.14195499,0.0,479882.5214166781,87.70575560390107,53266930.34256839,79.01423804840486
2025,4,April,644.6726136834379,571.5484520703887,140822.84028328487,74.5173992269086,0.0,0.0,76.71072172102706,30705233.67265141,30705233.67265141,0.0,411800.6597167151,74.56334259827092,44751961.00858163,68.61204063608157
2025,5,May,728.4200792142217,656.5895074161551,82200.61172867252,85.60489014552218,532.7150358037671,70.52723327046887,69.4529079919409,32872338.872339908,32872338.872339908,0.0,488830.8882713275,67.24685297319834,41879688.40703447,78.49231960097008
2025,6,June,748.4013232960659,662.9789476438566,74947.1682226013,86.43793319998132,600.0,11546.473568610714,67.09400416377517,31167095.368152365,31167095.368152365,0.0,477676.3317773987,65.24730930708223,39649335.70329081,78.60685384841281
2025,7,July,651.1671716913404,593.5246771148335,129152.3778880065,77.3826176160148,599.9997920976977,3394.997828451391,79.41760241773002,34635257.612111464,34635257.612111464,0.0,441879.1221119935,78.38174713159047,47634210.979106516,72.71088761668226
2025,8,August,678.8958060949045,620.40698662028,109138.49846120154,80.88748195831552,599.9999999999987,6310.499064744548,71.35768972464741,31444065.434718106,31444065.434718106,0.0,461893.00153879845,68.07651410599873,42543972.472045004,73.90956605046584
2025,9,September,745.4242027457266,663.5548945689574,74532.19846306626,86.51302406374933,0.0,0.0,65.36454545454545,30176285.635290623,30176285.635290623,0.0,478091.30153693375,63.11824862381319,38292957.75540622,78.80374722694363
2025,10,October,735.9287687847911,610.2937981715643,116667.76726127039,79.56894369903054,600.0,19999.99801688409,72.57371390194763,30413540.867260493,30413540.867260493,0.0,454363.7327387296,66.93655033587162,43572146.60585842,69.80041892903043
