year,month,month_name,total_gen_mwh,avg_cf_pct,avg_price,min_price,max_price,neg_price_hours,avg_neg_price,storage_availability_pct,wind_cfd_ar6_rev,wind_cfd_ar7_rev,storage_market_rev,excess_wind_rev,excess_wind_sold_mwh,grid_charge_cost,bess_discharge_mwh,laes_discharge_mwh,bess_charge_wind_mwh,bess_charge_grid_mwh,laes_charge_wind_mwh,laes_charge_grid_mwh,bess_cycles,laes_cycles,neg_price_charge_mwh,curtailed_mwh,wind_only_availability_pct,wind_only_cfd_ar6_rev,wind_only_curtailed_mwh
2024,10,October,672935.5163904603,59.7801440182556,82.25298858294157,-9.74,605.17,8.5,-4.4288235294117655,91.01696858582156,34944147.695063435,31108814.411458913,14796028.777685134,574849.5054638191,8193.655967162238,54062.786697058335,61645.91884716773,91248.68328755235,71048.79655839436,702.2718685448659,167544.92124217885,3552.3848438458185,102.74319807861289,4.562434164377618,648.1281971332112,0.0,74.62778193895167,34944147.695063435,246787.3737677355
2024,11,November,638659.0021826371,58.625054817773986,95.36897293546149,-4.11,183.79,2.5,-2.538,75.38213570025529,31158098.730849333,27738307.406731717,12414971.109689033,4546899.793294329,61094.035710207594,1718.9700971285627,85064.22893354108,36178.78100123258,98850.584756967,61.30935180169007,96950.66792462183,0.0,141.77371488923512,1.8089390500616291,6.798472895752639e-10,1786.8999999951443,68.75871434907229,31158098.730849333,258682.18839179157
2024,12,December,675410.4000000001,60.0,87.61073875083949,-12.27,369.52,11.5,-4.717826086956522,89.1824869634072,36348555.472647965,32359079.87199149,14965041.548538912,2738169.721835953,54296.3085800707,139329.90722975542,69828.02428704491,64238.635502079436,81146.81652040663,676.467534296758,94526.71706614584,15129.485035981008,116.38004047840819,3.211931775103972,2435.3224874055268,2165.491093767505,77.62707779511453,36348555.472647965,232135.33326039065
2025,1,January,672845.7657759851,59.77217103343257,114.04488918737407,-14.33,1352.9,3.0,-5.111666666666666,85.54042488299025,34794916.075997435,30975961.872534297,19366046.204433836,4771021.250383219,55892.86115458516,20022.186445260228,82091.7255765034,63951.729789690005,94823.19863015699,4.389249498157028,96924.12123967659,1485.3786543233587,136.81954262750568,3.1975864894845003,166.02003495178667,877.3399223293605,74.30907836594601,34794916.075997435,248517.5209467481
2025,2,February,609208.615102918,59.9131227850473,102.5972342007435,7.56,172.57,0.0,0.0,92.53036467512081,33366456.980558068,29704284.872935843,15243201.504566932,379174.3068753653,5956.391270705696,21545.293554601747,70027.62585248554,69138.36106303413,81277.47172366336,150.00019783145933,115066.74015052372,1103.5668310457854,116.71270975414258,3.4569180531517056,0.0,0.0,78.88757180886769,33366456.980558068,202300.60314489278
2025,3,March,672245.6720781638,59.718861783428025,89.6839153794493,-17.18,181.68,12.5,-8.4684,87.31137834800302,35310543.47725924,31434996.02243811,14178075.134100873,1530160.5555686979,20234.365223861365,4818.343648685841,79373.8221575797,66834.10655017593,91481.15450345875,813.9875402385857,124828.6967971698,4278.835982017899,132.2897035959662,3.3417053275087967,2537.594925127231,5085.071684658836,75.41026788697562,35310543.47725924,241629.28820914877
2025,4,April,634318.5269077396,58.2266252958281,76.71072172102706,-68.67,151.52,24.5,-19.586734693877553,85.71575065631079,31761959.522980522,28275890.794848517,12262507.475018917,2554981.3689551223,39763.85501620858,56552.212454662775,54393.64628245187,82608.84090935036,62625.979812244754,702.7136792935763,137440.12228684078,5166.794860383057,90.65607713741979,4.130442045467518,1510.0236641812107,7147.5999999999985,70.09129539233228,31761959.522980522,246977.55711529416
2025,5,May,670625.3606703207,59.574921618351205,69.4529079919409,-18.24,133.64,36.5,-4.497671232876712,90.84608182238834,34389189.39479408,30614766.168536186,10972851.187969366,1379783.6709603462,32653.71305185504,64176.70504962734,46792.71572127673,91101.3998819067,49167.86182212741,5700.132107408491,166207.00732323964,20011.299423747183,77.98785953546121,4.555069994095335,13578.825167576508,3216.42,73.4425961567967,34389189.39479408,251245.0021972221
2025,6,June,651822.6235236039,59.83339607668873,67.09400416377517,-55.96,208.36,57.0,-16.861666666666668,91.3537733623775,34141873.76194772,30394594.93441687,10983815.110779379,2262306.903243487,42300.501850224624,159569.8485751652,55842.03363425127,76546.68538873001,56847.00013454171,7547.470162965294,124320.28571823632,22787.704141362316,93.07005605708544,3.8273342694365002,9477.382617936544,11990.521650507202,75.34321543873797,34141873.76194772,235458.30935350986
2025,7,July,657497.3698301293,58.40869816308389,79.41760241773002,-26.17,230.86,12.5,-10.456800000000001,84.28625353644375,31966174.478044942,28457691.91338147,13376706.841994898,2618205.3076372845,40033.54065222829,3202.8676193710235,68004.70775252246,87000.75868688643,79311.72656232514,0.7243126918989446,139825.59332702903,477.626105326455,113.34117958753743,4.3500379343443205,197.72404940756462,8495.113214828109,68.26793199214383,31966174.478044942,267665.9737564106
2025,8,August,670039.2402740224,59.5228536848727,71.35768972464741,-12.88,154.67,32.0,-5.03765625,89.03273694972609,34997729.64975991,31156515.41990821,10274782.936584093,2337075.06400679,42653.34237819706,108448.71895234694,56871.81617002269,72173.53258376045,60808.95996698577,5711.754093338102,131002.17211406343,19322.70210137799,94.78636028337115,3.6086766291880217,10842.890347107008,8773.184720143163,74.74221318694907,34997729.64975991,243237.65917938942
